Código COMPE;Banco;Site
1;Banco do Brasil S.A.;https://www.bb.com.br/site/
33;Banco Santander (Brasil) S.A.;www.santander.com.br
104;Caixa Econômica Federal;https://www.caixa.gov.br/
237;Banco Bradesco S.A.;https://banco.bradesco/
341;Itaú Unibanco S.A.;www.itau.com.br
260;Nu Pagamentos S.A.;www.nubank.com.br
336;Banco C6 S.A.;https://www.c6bank.com.br/
77;Banco Inter S.A.;https://inter.co/
332;Acesso Soluções De Pagamento S.A.;https://acesso.com/
117;Advanced Corretora De Câmbio Ltda;https://advancedcorretora.com.br/
272;Agk Corretora De Cambio S.A.;https://www.agkcorretora.com.br/
349;Al5 S.A. Crédito;https://meual5bank.com.br/
172;Albatross Ccv S.A;http://www.albatrossccv.com.br/
313;Amazónia Corretora De Câmbio Ltda.;
188;Ativa Investimentos S.A. Corretora De Títulos, Câmbio E Valores;https://www.ativainvestimentos.com.br/
280;Avista S.A. Crédito;https://www.avistafinanceira.com.br/
280;Avista S.A. Crédito;https://www.avista.com.br/
80;B&T Corretora De Cambio Ltda.;https://btcorretora.com.br/
246;Banco Abc Brasil S.A.;www.abcbrasil.com.br
75;Banco Abn Amro S.A.;https://www.abnamro.com/br/pt/home
121;Banco Agibank S.A.;https://agibank.com.br/
25;Banco Alfa S.A.;https://bancoalfa.com.br/default.ashx
641;Banco Alvorada S.A.;
65;Banco Andbank (Brasil) S.A.;https://www.andbank.com/brasil/
213;Banco Arbi S.A.;https://www.bancoarbi.com.br/
96;Banco B3 S.A.;https://www.b3.com.br/
24;Banco Bandepe S.A.;
330;Banco Bari De Investimentos E Financiamentos S.A.;https://bancobari.com.br/
318;Banco BMG S.A.;https://www.bancobmg.com.br/
752;Banco Bnp Paribas Brasil S.A.;https://brasil.bnpparibas/pt/
107;Banco Bocom Bbm S.A.;https://www.bocombbm.com.br/
63;Banco Bradescard S.A.;https://www.bradescard.com.br/
36;Banco Bradesco BBI S.A.;https://www.bradescobbi.com.br/
122;Banco Bradesco Berj S.A.;
204;Banco Bradesco Cartões S.A.;https://banco.bradesco/
394;Banco Bradesco Financiamentos S.A.;https://financiamentos.bradesco
218;Banco Bs2 S.A.;https://www.bancobs2.com.br/
208;Banco BTG Pactual S.A.;https://www.btgpactual.com/
626;Banco C6 Consignado S.A.;https://www.c6consig.com.br/
473;Banco Caixa Geral – Brasil S.A.;https://www.bcgbrasil.com.br/
412;Banco Capital S.A.;https://www.bancocapital.com/
40;Banco Cargill S.A.;https://bancocargill.com.br/
266;Banco Cedula S.A.;http://www.bancocedula.com.br/
739;Banco Cetelem S.A.;https://www.cetelem.com.br/pt/
233;Banco Cetelem S.A.;https://www.cetelem.com.br/pt/
745;Banco Citibank S.A.;https://corporateportal.brazil.citibank.com/
241;Banco Classico S.A.;https://www.bancoclassico.com.br/
756;Banco Cooperativo Do Brasil S.A. – Bancoob – Sicoob;https://www.bancoob.com.br/
748;Banco Cooperativo Sicredi S.A.;https://www.sicredi.com.br/home/
222;Banco Crédit Agricole Brasil S.A.;https://www.ca-cib.com/pt-br/brasil
505;Banco Credit Suisse (Brasil) S.A.;https://www.credit-suisse.com/br/pt.html
69;Banco Crefisa S.A.;https://www.crefisa.com.br/
133;Banco Cresol – Confederação Nacional Das Cooperativas Centrais De Crédito e Economia Familiar e Solidária;https://cresol.com.br/
