Código COMPE;Banco;Nome Completo;ISPB;Site
1;BCO DO BRASIL S.A.;Banco do Brasil S.A.;00000000;
3;BCO DA AMAZONIA S.A.;BANCO DA AMAZONIA S.A.;04902979;
4;BCO DO NORDESTE DO BRASIL S.A.;Banco do Nordeste do Brasil S.A.;07237373;
7;BNDES;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;
10;CREDICOAMO;CREDICOAMO CREDITO RURAL COOPERATIVA;81723108;
11;C.SUISSE HEDGING-GRIFFO CV S/A;CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A;61809182;
12;BANCO INBURSA;Banco Inbursa S.A.;04866275;
14;STATE STREET BR S.A. BCO COMERCIAL;STATE STREET BRASIL S.A. - BANCO COMERCIAL;09274232;
15;UBS BRASIL CCTVM S.A.;UBS Brasil Corretora de Câmbio, Títulos e Valores Mobiliários S.A.;02819125;
16;CCM DESP TRÂNS SC E RS;COOPERATIVA DE CRÉDITO MÚTUO DOS DESPACHANTES DE TRÂNSITO DE SANTA CATARINA E RI;04715685;
17;BNY MELLON BCO S.A.;BNY Mellon Banco S.A.;42272526;
18;BCO TRICURY S.A.;Banco Tricury S.A.;57839805;
21;BCO BANESTES S.A.;BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO;28127603;
24;BCO BANDEPE S.A.;Banco Bandepe S.A.;10866788;
25;BCO ALFA S.A.;Banco Alfa S.A.;03323840;
29;BANCO ITAÚ CONSIGNADO S.A.;Banco Itaú Consignado S.A.;33885724;
33;BCO SANTANDER (BRASIL) S.A.;BANCO SANTANDER (BRASIL) S.A.;90400888;
36;BCO BBI S.A.;Banco Bradesco BBI S.A.;06271464;
37;BCO DO EST. DO PA S.A.;Banco do Estado do Pará S.A.;04913711;
40;BCO CARGILL S.A.;Banco Cargill S.A.;03609817;
41;BCO DO ESTADO DO RS S.A.;Banco do Estado do Rio Grande do Sul S.A.;92702067;
47;BCO DO EST. DE SE S.A.;Banco do Estado de Sergipe S.A.;13009717;
60;CONFIDENCE CC S.A.;Confidence Corretora de Câmbio S.A.;04913129;
62;HIPERCARD BM S.A.;Hipercard Banco Múltiplo S.A.;03012230;
63;BANCO BRADESCARD;Banco Bradescard S.A.;04184779;
64;GOLDMAN SACHS DO BRASIL BM S.A;GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;04332281;
65;BCO ANDBANK S.A.;Banco AndBank (Brasil) S.A.;48795256;
66;BCO MORGAN STANLEY S.A.;BANCO MORGAN STANLEY S.A.;02801938;
69;BCO CREFISA S.A.;Banco Crefisa S.A.;61033106;
70;BRB - BCO DE BRASILIA S.A.;BRB - BANCO DE BRASILIA S.A.;00000208;
74;BCO. J.SAFRA S.A.;Banco J. Safra S.A.;03017677;
75;BCO ABN AMRO S.A.;Banco ABN Amro S.A.;03532415;
76;BCO KDB BRASIL S.A.;Banco KDB do Brasil S.A.;07656500;
77;BANCO INTER;Banco Inter S.A.;00416968;
78;HAITONG BI DO BRASIL S.A.;Haitong Banco de Investimento do Brasil S.A.;34111187;
79;PICPAY BANK - BANCO MÚLTIPLO S.A;PICPAY BANK - BANCO MÚLTIPLO S.A;09516419;
80;B&T CC LTDA.;B&T CORRETORA DE CAMBIO LTDA.;73622748;
81;BANCOSEGURO S.A.;BancoSeguro S.A.;10264663;
82;BANCO TOPÁZIO S.A.;BANCO TOPÁZIO S.A.;07679404;
83;BCO DA CHINA BRASIL S.A.;Banco da China Brasil S.A.;10690848;
84;SISPRIME DO BRASIL - COOP;SISPRIME DO BRASIL - COOPERATIVA DE CRÉDITO;02398976;
85;COOPCENTRAL AILOS;Cooperativa Central de Crédito - Ailos;05463212;
88;BANCO RANDON S.A.;BANCO RANDON S.A.;11476673;
89;CREDISAN CC;CREDISAN COOPERATIVA DE CRÉDITO;62109566;
93;POLOCRED SCMEPP LTDA.;PÓLOCRED   SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORT;07945233;
94;BANCO FINAXIS;Banco Finaxis S.A.;11758741;
95;TRAVELEX BANCO DE CÂMBIO S.A.;Travelex Banco de Câmbio S.A.;11703662;
96;BCO B3 S.A.;Banco B3 S.A.;00997185;
97;CREDISIS CENTRAL DE COOPERATIVAS DE CRÉDITO LTDA.;Credisis - Central de Cooperativas de Crédito Ltda.;04632856;
98;CREDIALIANÇA CCR;Credialiança Cooperativa de Crédito Rural;78157146;
99;UNIPRIME COOPCENTRAL LTDA.;UNIPRIME CENTRAL NACIONAL - CENTRAL NACIONAL DE COOPERATIVA DE CREDITO;03046391;
100;PLANNER CV S.A.;Planner Corretora de Valores S.A.;00806535;
101;RENASCENCA DTVM LTDA;RENASCENCA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;62287735;
102;XP INVESTIMENTOS CCTVM S/A;XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A;02332886;
104;CAIXA ECONOMICA FEDERAL;CAIXA ECONOMICA FEDERAL;00360305;
