Código COMPE;Banco;Nome Completo;ISPB;Site
93;POLOCRED SCMEPP LTDA.;PÓLOCRED   SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORT;07945233;
141;MASTER BI S.A.;BANCO MASTER DE INVESTIMENTO S.A.;09526594;
307;TERRA INVESTIMENTOS DTVM;Terra Investimentos Distribuidora de Títulos e Valores Mobiliários Ltda.;03751794;
311;DOURADA CORRETORA;DOURADA CORRETORA DE CÂMBIO LTDA.;76641497;
312;HSCM SCMEPP LTDA.;HSCM - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LT;07693858;
328;CECM FABRIC CALÇADOS SAPIRANGA;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FABRICANTES DE CALÇADOS DE SAPIRANGA;05841967;
334;BANCO BESA S.A.;BANCO BESA S.A.;15124464;
350;CREHNOR LARANJEIRAS;COOPERATIVA DE CRÉDITO RURAL DE PEQUENOS AGRICULTORES E DA REFORMA AGRÁRIA DO CE;01330387;
358;MIDWAY S.A. - SCFI;MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;09464032;
360;TRINUS CAPITAL DTVM;TRINUS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;02276653;
371;WARREN CVMC LTDA;WARREN CORRETORA DE VALORES MOBILIÁRIOS E CÂMBIO LTDA.;92875780;
377;BMS SCD S.A.;BMS SOCIEDADE DE CRÉDITO DIRETO S.A.;17826860;
379;CECM COOPERFORTE;COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DE FUNCIONÁRIOS DE INSTITU;01658426;
382;FIDUCIA SCMEPP LTDA;FIDÚCIA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE L;04307598;
383;EBANX IP LTDA.;EBANX INSTITUICAO DE PAGAMENTOS LTDA.;21018182;
385;CECM DOS TRAB.PORT. DA G.VITOR;COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS TRABALHADORES PORTUARIOS DA GRANDE V;03844699;
395;F D GOLD DTVM LTDA;F.D'GOLD - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;08673569;
